id,gen,genes_kai
1,0,ccac7787fa7fafaa16467755f9ee444467667366cccceede
2,0,ca9c7575f442af9g666455577777444466868667ccccffec
3,0,ac9a6686ff7f99aa66665575779f444467867748ccccdcfc
4,0,ccac568622fff99g16167555ffed444486684687ccccdcff
5,0,ca9c8777747fg99g44117775f77d444477886377ccccffef
6,0,9ccc7767447faffg4141755599de444458876674cccccece
7,0,ca99758577ffggga46445557e79e444476664773ccccddcd
8,0,999a5655777799gf146157777e79444476868846ccccfdff
9,0,caaa77872f44afg941145577ffef444457566674cccccedf
10,0,ac9a6575472agf9g61117575eed7444455867847ccccdcdf
11,0,9c9988554772ggaa461455779e79444466577676cccccdef
12,0,9aca77872f2fgagg461477579779444465668344cccceded
13,0,99aa56877422g9g944117555e7d7444476678843ccccffcf
14,0,aaaa8758f2f4f99a414155757997444488763468ccccfedf
15,0,9ccc75662a2a9aff46667775fefd444477863677ccccfecc
16,0,caaa67672f2299f946167577eded444465788863cccccccc
17,0,ccc98586a2a2aa9a646677559fdf444457576483cccccfdc
18,0,99ac5586a447g9gg44665775ddf7444488773384ccccdffc
19,0,aa9c86572f7fg9af64647577edf7444465576348ccccfcde
20,0,ccca8888f4aa9gff46465757fef7444476568368ccccccdd
22,0,aaa988552a2fagg941165777d779444487778344cccccffe
23,0,9cca88782444gfff66445575d97d444486576638cccccdfe
24,0,caac56682ff7fa9g446175577797444485783437ccccddee
25,0,c99c68574277aaaa1664575799e9444488667467cccceefc
26,0,9c9978784f229g9946447755979d444487877388ccccecff
27,0,a9ac5688a7f2fafa466155757997444468764486ccccefee
28,0,cacc6667ffa7aaf9646675759f9e444456577876ccccfcfd
29,0,a99c6776aa7a99gf144157579fff444468864733ccccdcee
30,0,acac58784aff9fgf14445577f9ee444468664637ccccceec
31,0,99c9686527faa99a661677779dde444477583684ccccfece
33,0,c9c976657ff4a9a964667577df7d444456874648ccccdeee
34,0,99a96565f7fff9aa6144575599de444477786474ccccfcde
35,0,caaa68874f249gaa661657557979444478866764ccccdfdc
36,0,caa9866822a4gggf411175577df7444455687774cccccece
37,0,caca8876a474a9gf161177779f79444477884663ccccfcdd
38,0,99997875ff2a99g944145775fd79444468788388ccccedcc
39,0,cc9c785574aaag9a61647577de99444477583667ccccceee
40,0,999a57552747gfga141677557efe444488778334ccccdecd
41,0,aaac6658ffa7fg9g41167755dd7e444487873384ccccfefd
43,0,ca9a758872a7fa9f41115555dedf444458884666ccccfded
44,0,acca8868f2f29aaf64645557ddd9444478577333ccccfdcf
45,0,9c9c77664afaggf964415757e9d7444476677867ccccdffe
47,0,9aac5566444ffgf946167757efe7444486666848ccccfedc
48,0,9aca575874479fgg41665775ef79444465687638ccccfcfe
49,0,c9c97685a4aagafg116675577fd9444456863888ccccdfcd
51,0,ca995575aaf49gf941667555eeed444477883838ccccdded
52,0,9c9957757a72a9ff166155577d9e444466578737cccccddc
53,0,a99a8757222ffa9f46115755997e444456784467ccccfefd
54,0,a9cc56864a44afa9611155777eee444455763434ccccccfe
56,0,ccc956874747a99944417555f7dd444455883836ccccdffd
57,0,ccaa768577779faa44615757eeff444455666766ccccefed
58,0,9aac6558aaaa9aff66645777799e444467763477ccccedcc
59,0,9c996887aff2gfag6641755599e7444456663887ccccecde
60,0,ccaa85784242faaf41147577eded444477676873ccccfcfc
61,0,accc5658faf4fgf914647777e7fe444457768486cccccecf
62,0,a9ca857647fafffg16417775977d444466888747cccccdef
63,0,999c67787f22aggg616675777edf444486664843cccceeff
64,0,accc5866f477f9g9161457577f7f444457588837ccccdfee
65,0,a9ca5586a4f4agff416675557f77444486888647cccceffc
66,0,9aa96566477a9aa914115755f9fd444476887446ccccdeec
67,0,aaac7565afffggg9116457757dee444458567373ccccddef
68,0,a9aa576872a4fafa64617755dfd7444466677483cccccdcc
70,0,ca998885faaagafg64465557999f444455683776ccccdfdf
72,0,99ac8678f77agfgf11417777e9ed444477786336ccccecfc
73,0,ccc97867a7fa9fgf11447557fded444455767763ccccfded
74,0,accc86672aa2gfaf11445555ddf7444457874768ccccdfee
75,0,caca7658aa22fg9a61147555eef7444477886486ccccddcf
76,0,99aa6868a2a7fgag4416575797ed444486683884ccccffcc
77,0,aca96878fa44agag11465575dfdf444485576436ccccefee
78,0,a9ca6688a7afaffa411475777ef9444485763648ccccecec
79,0,aaaa887622f4f9gf66415557d9dd444458786767ccccdfcd
80,0,9ccc7575aa2afgfa11615757ddff444467564783cccccecc
81,0,9ac98777af779ggg64445755e999444488874734ccccecef
82,0,aaa95578774fafaf61165775ffdd444467773748ccccdffc
83,0,ca997556472fafff46115577dffe444455764473ccccdfde
84,0,aaac85577424ggfa44645757e7ef444485568368ccccccff
85,0,ac997656f47f99aa114175757dd9444478878768ccccfeff
86,0,99aa5586f4a2aaag11445777ef97444467588487cccceeef
87,0,c9998768f24agfa911465577f79f444488786684cccceddd
88,0,9c9c6777222af9f961467557dd7f444488663476cccccecd
89,0,99cc5866774f9fg966417777e7e9444465674383ccccedce
90,0,acc97665ffa49f9914417755fe9e444457873438ccccdcdc
91,0,999a585644779g9g44467775dddf444488576838ccccdccd
94,0,acac67674a2agafg66615775f9f7444485573486ccccfdcc
95,0,acc966562f4af99g11447775fd9d444465787377ccccfddd
96,0,9a9a55662aa7fg9g46147775feee444456777774cccceedd
97,0,aac967572242gaga14667575efff444475584734cccceffd
98,0,9a9a855542a4gaaf146675559fde444476684776ccccffde
99,0,a9ac6777a722ffff14167575e799444478567348ccccecef
100,0,ac9977577427a9a916415755d779444478686433cccccddf
